Author,RoB_domain,Percent_concordance,N_studies
Economou,Sequence generation,NA,NA
Economou,Baseline characteristics,NA,NA
Economou,Allocation concealment,NA,NA
Economou,Random housing,NA,NA
Economou,Blinded caregivers,NA,NA
Economou,Random outcome assessment,NA,NA
Economou,Blinding of outcome assessment,NA,NA
Economou,Incomplete outcome data,NA,NA
Economou,Selective outcome reporting,NA,NA
Economou,Other,NA,NA
Gallas-Lopes,Sequence generation,100,20
Gallas-Lopes,Baseline characteristics,65,20
Gallas-Lopes,Allocation concealment,100,20
Gallas-Lopes,Random housing,100,20
Gallas-Lopes,Blinded caregivers,70,20
Gallas-Lopes,Random outcome assessment,100,20
Gallas-Lopes,Blinding of outcome assessment,55,20
Gallas-Lopes,Incomplete outcome data,50,20
Gallas-Lopes,Selective outcome reporting,80,20
Gallas-Lopes,Other,50,20
Lalu,Sequence generation,NA,NA
Lalu,Baseline characteristics,NA,NA
Lalu,Allocation concealment,NA,NA
Lalu,Random housing,NA,NA
Lalu,Blinded caregivers,NA,NA
Lalu,Random outcome assessment,NA,NA
Lalu,Blinding of outcome assessment,NA,NA
Lalu,Incomplete outcome data,NA,NA
Lalu,Selective outcome reporting,NA,NA
Lalu,Other,NA,NA
Ramage,Sequence generation,NA,NA
Ramage,Baseline characteristics,NA,NA
Ramage,Allocation concealment,NA,NA
Ramage,Random housing,NA,NA
Ramage,Blinded caregivers,NA,NA
Ramage,Random outcome assessment,NA,NA
Ramage,Blinding of outcome assessment,NA,NA
Ramage,Incomplete outcome data,NA,NA
Ramage,Selective outcome reporting,NA,NA
Ramage,Other,NA,NA
Vojvodic,Sequence generation,94.73684,19
Vojvodic,Baseline characteristics,94.73684,19
Vojvodic,Allocation concealment,73.68421,19
Vojvodic,Random housing,100,19
Vojvodic,Blinded caregivers,36.84211,19
Vojvodic,Random outcome assessment,100,19
Vojvodic,Blinding of outcome assessment,100,19
Vojvodic,Incomplete outcome data,57.89474,19
Vojvodic,Selective outcome reporting,68.42105,19
Vojvodic,Other,26.31579,19